35.799999,-14.991327,761.000000
35.799999,-15.805478,1420.000000
40.799999,-15.791745,1420.000000
40.799999,-14.960247,761.000000
35.799999,-15.960000,0.000000
35.799999,-14.959090,659.000000
40.799999,-14.978240,659.000000
40.799999,-15.960000,0.000000
41.184900,36.147954,659.000000
46.384358,36.062955,659.000000
46.367247,36.058524,664.000000
41.167742,36.144038,664.000000
48.294400,35.651087,659.000000
48.277448,35.646468,664.000000
-38.885141,36.185897,659.000000
-46.384358,36.063324,659.000000
-46.000000,35.040001,0.000000
-38.500000,35.040001,0.000000
49.907303,34.540744,659.000000
49.890767,34.535968,664.000000
-48.294400,35.651461,659.000000
-47.913418,34.659397,0.000000
50.977516,32.900961,659.000000
50.961593,32.896084,664.000000
-49.907303,34.541123,659.000000
-49.535534,33.575535,0.000000
51.342114,30.981385,659.000000
51.326904,30.976478,664.000000
-50.977516,32.901344,659.000000
-50.619396,31.953417,0.000000
51.000000,-10.017306,659.000000
51.000000,-10.022057,664.000000
-51.342114,30.981769,659.000000
-51.000000,30.040001,0.000000
50.609540,-11.929227,659.000000
50.609978,-11.933724,664.000000
-51.000000,-10.016923,659.000000
-51.000000,-10.960000,0.000000
49.526893,-13.547198,659.000000
49.527277,-13.550985,664.000000
-50.609540,-11.928846,659.000000
-50.619396,-12.873417,0.000000
47.910484,-14.624870,659.000000
47.910614,-14.627596,664.000000
-49.526893,-13.546819,659.000000
-49.535534,-14.495534,0.000000
46.000000,-14.998156,659.000000
46.000000,-14.999629,664.000000
-47.910484,-14.624496,659.000000
-47.913418,-15.579397,0.000000
40.799999,-14.976304,664.000000
-46.000000,-14.997788,659.000000
-46.000000,-15.960000,0.000000
20.400000,-14.900109,659.000000
20.400000,-15.960000,0.000000
25.400000,-14.919259,659.000000
25.400000,-15.960000,0.000000
45.973936,36.070953,756.000000
40.773938,36.031084,756.000000
47.887569,35.705021,756.000000
49.510299,34.633599,756.000000
50.595079,33.019798,756.000000
50.976767,31.109307,756.000000
51.000000,-9.890535,756.000000
50.620066,-11.806542,756.000000
49.536121,-13.436049,756.000000
47.913617,-14.530973,756.000000
46.000000,-14.924621,756.000000
46.000000,-15.960000,0.000000
20.400000,-14.884798,664.000000
-46.000000,-14.999198,664.000000
-46.000000,-14.925276,756.000000
20.400000,-15.099137,756.000000
-47.910614,-14.627159,664.000000
-47.913617,-14.531638,756.000000
-49.527277,-13.550541,664.000000
-49.536121,-13.436722,756.000000
-50.609978,-11.933277,664.000000
-50.620066,-11.807222,756.000000
-51.000000,-10.021609,664.000000
-51.000000,-9.891217,756.000000
-51.326904,30.976927,664.000000
-50.976767,31.108626,756.000000
-50.961593,32.896532,664.000000
-50.595079,33.019118,756.000000
-49.890767,34.536413,664.000000
-49.510299,34.632926,756.000000
-48.277448,35.646907,664.000000
-47.887569,35.704355,756.000000
-46.367247,36.058957,664.000000
-45.973936,36.070297,756.000000
-38.867962,36.182269,664.000000
45.950797,36.063748,761.000000
40.750805,36.023080,761.000000
47.864619,35.698111,761.000000
49.487892,34.626942,761.000000
50.573488,33.013312,761.000000
50.956138,31.102885,761.000000
51.000000,-9.896843,761.000000
50.620660,-11.812618,761.000000
49.536642,-13.441473,761.000000
47.913794,-14.535424,761.000000
46.000000,-14.927924,761.000000
40.799999,-14.960069,756.000000
-46.000000,-14.928521,761.000000
20.400000,-15.087055,761.000000
-47.913794,-14.536031,761.000000
-49.536642,-13.442088,761.000000
-50.620660,-11.813237,761.000000
-51.000000,-9.897464,761.000000
-50.956138,31.102264,761.000000
-50.573488,33.012692,761.000000
-49.487892,34.626328,761.000000
-47.864619,35.697505,761.000000
-45.950797,36.063150,761.000000
-38.473940,36.012833,756.000000
-38.450810,36.004530,761.000000
46.347251,35.280040,1420.000000
41.147693,35.324568,1420.000000
48.257636,34.883043,1420.000000
49.871442,33.785268,1420.000000
50.942981,32.153835,1420.000000
51.309126,30.237121,1420.000000
51.000000,-10.763729,1420.000000
50.610490,-12.678216,1420.000000
49.527726,-14.303307,1420.000000
47.910767,-15.391611,1420.000000
46.000000,-15.777462,1420.000000
25.400000,-15.055974,761.000000
25.400000,-15.834043,1420.000000
20.400000,-15.847776,1420.000000
-46.000000,-15.777727,1420.000000
-47.910767,-15.391880,1420.000000
-49.527726,-14.303578,1420.000000
-50.610490,-12.678490,1420.000000
-51.000000,-10.764004,1420.000000
-51.309126,30.236846,1420.000000
-50.942981,32.153561,1420.000000
-49.871442,33.784996,1420.000000
-48.257636,34.882774,1420.000000
-46.347251,35.279775,1420.000000
-38.847890,35.344014,1420.000000
40.799999,35.040001,0.000000
46.000000,35.040001,0.000000
47.913418,-15.579397,0.000000
49.535534,-14.495534,0.000000
50.619396,-12.873417,0.000000
51.000000,-10.960000,0.000000
51.000000,30.040001,0.000000
50.619396,31.953417,0.000000
49.535534,33.575535,0.000000
47.913418,34.659397,0.000000
38.847890,35.344263,1420.000000
38.500000,35.040001,0.000000
35.799999,-14.987332,765.992432
35.799999,-14.982305,770.984863
35.799999,-14.976431,775.977295
35.799999,-14.969934,780.969727
35.799999,-14.963066,785.962097
35.799999,-14.956098,790.954529
35.799999,-14.949310,795.946960
35.799999,-14.942978,800.939392
35.799999,-14.937368,805.931824
35.799999,-14.932719,810.924255
35.799999,-14.929240,815.916687
35.799999,-14.927096,820.909119
35.799999,-14.926406,825.901489
35.799999,-14.927237,830.893921
35.799999,-14.929600,835.886353
35.799999,-14.933452,840.878784
35.799999,-14.938695,845.871216
35.799999,-14.945183,850.863647
35.799999,-14.952724,855.856079
35.799999,-14.961093,860.848511
35.799999,-14.970033,865.840881
35.799999,-14.979275,870.833313
35.799999,-14.988538,875.825745
35.799999,-14.997549,880.818176
35.799999,-15.006048,885.810608
35.799999,-15.013802,890.803040
35.799999,-15.020611,895.795471
35.799999,-15.026318,900.787903
35.799999,-15.030815,905.780273
35.799999,-15.034044,910.772705
35.799999,-15.036007,915.765137
35.799999,-15.036755,920.757568
35.799999,-15.036398,925.750000
35.799999,-15.035089,930.742432
35.799999,-15.033028,935.734863
35.799999,-15.030446,940.727295
35.799999,-15.027603,945.719727
35.799999,-15.024773,950.712097
35.799999,-15.022233,955.704529
35.799999,-15.020257,960.696960
35.799999,-15.019098,965.689392
35.799999,-15.018985,970.681824
35.799999,-15.020110,975.674255
35.799999,-15.022620,980.666687
35.799999,-15.026615,985.659119
35.799999,-15.032140,990.651489
35.799999,-15.039184,995.643921
35.799999,-15.047682,1000.636350
35.799999,-15.057518,1005.628780
35.799999,-15.068525,1010.621220
