35.7999992	-15.96	761
35.7999992	-15.96	1420
40.7999992	-15.96	1420
40.7999992	-15.96	761
35.7999992	-15.96	0
35.7999992	-15.96	659
40.7999992	-15.96	659
40.7999992	-15.96	0
40.7999992	35.0400009	659
46	35.0400009	659
46	35.0400009	664
40.7999992	35.0400009	664
47.9134178	34.6593971	659
47.9134178	34.6593971	664
-38.5	35.0400009	659
-46	35.0400009	659
-46	35.0400009	0
-38.5	35.0400009	0
49.5355339	33.5755348	659
49.5355339	33.5755348	664
-47.9134178	34.6593971	659
-47.9134178	34.6593971	0
50.6193962	31.9534168	659
50.6193962	31.9534168	664
-49.5355339	33.5755348	659
-49.5355339	33.5755348	0
51	30.0400009	659
51	30.0400009	664
-50.6193962	31.9534168	659
-50.6193962	31.9534168	0
51	-10.96	659
51	-10.96	664
-51	30.0400009	659
-51	30.0400009	0
50.6193962	-12.8734169	659
50.6193962	-12.8734169	664
-51	-10.96	659
-51	-10.96	0
49.5355339	-14.4955339	659
49.5355339	-14.4955339	664
-50.6193962	-12.8734169	659
-50.6193962	-12.8734169	0
47.9134178	-15.5793972	659
47.9134178	-15.5793972	664
-49.5355339	-14.4955339	659
-49.5355339	-14.4955339	0
46	-15.96	659
46	-15.96	664
-47.9134178	-15.5793972	659
-47.9134178	-15.5793972	0
40.7999992	-15.96	664
-46	-15.96	659
-46	-15.96	0
20.3999996	-15.96	659
20.3999996	-15.96	0
25.3999996	-15.96	659
25.3999996	-15.96	0
46	35.0400009	756
40.7999992	35.0400009	756
47.9134178	34.6593971	756
49.5355339	33.5755348	756
50.6193962	31.9534168	756
51	30.0400009	756
51	-10.96	756
50.6193962	-12.8734169	756
49.5355339	-14.4955339	756
47.9134178	-15.5793972	756
46	-15.96	756
46	-15.96	0
20.3999996	-15.96	664
-46	-15.96	664
-46	-15.96	756
20.3999996	-15.96	756
-47.9134178	-15.5793972	664
-47.9134178	-15.5793972	756
-49.5355339	-14.4955339	664
-49.5355339	-14.4955339	756
-50.6193962	-12.8734169	664
-50.6193962	-12.8734169	756
-51	-10.96	664
-51	-10.96	756
-51	30.0400009	664
-51	30.0400009	756
-50.6193962	31.9534168	664
-50.6193962	31.9534168	756
